SeqNum,MGEMLE,MGEMOM,MAANTH,AWAPAR,APERSA,AMOTSC,Resp,rand,RespHoldout,PWAPAR2,PAANHA2,PPERSA2,MSKB12,MAUT02,MHHUUR2,MAUT22,MINKGE2,MFALLE2,MRELGE2,MGODRK2,MOPLHO2,MFWEKI2,MSKB22,MGODPR2,MSKC2,MAUT12,MSKA2,mostyp_1,mostyp_2,mostyp_3,mostyp_4,mostyp_5,mostyp_6,mostyp_7,mostyp_8,mostyp_9,mostyp_10,mostyp_11,mostyp_12,mostyp_13,mostyp_14,mostyp_15,mostyp_16,mostyp_17,mostyp_18,mostyp_19,mostyp_20,mostyp_21,mostyp_22,mostyp_23,mostyp_24,mostyp_25,mostyp_26,mostyp_28,mostyp_29,mostyp_30,mostyp_31,mostyp_32,mostyp_33,mostyp_34,mostyp_35,mostyp_36,mostyp_37,mostyp_38,mostyp_39,mostyp_40,mostyp_41,MOSHOO_1,MOSHOO_2,MOSHOO_3,MOSHOO_4,MOSHOO_5,MOSHOO_6,MOSHOO_7,MOSHOO_8,MOSHOO_9,MOSHOO_10
20,3,5,0,0,0,0,0,0.5924619094,,0,0,0,0,0,0,0,0,17,0,82,0,0,0,0,0,43,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,7,3,0,0,0,0,0,0.2635869837,,0,0,0,17,0,0,0,0,43,0,43,56,17,17,0,17,30,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,6,1,8,0,1,0,0,0.040059404,,0,350,0,5.5,0,5.5,69,69,82,30,5.5,30,0,0,0,56,5.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,5,0,4,0,0,0,0,0.2722651406,,0,0,0,0,17,0,0,0,82,0,56,43,0,0,0,17,17,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,6,0,4,0,0,0,0,0.4837775428,,0,0,0,5.5,0,0,43,5.5,43,5.5,30,30,0,17,0,82,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,5,0,5,0,0,0,0,0.5948824289,,0,0,0,17,0,0,5.5,5.5,69,5.5,56,17,5.5,5.5,0,17,43,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,6,2,3,0,0,0,0,0.216919873,,0,0,0,0,0,0,5.5,5.5,56,30,17,30,0,0,0,56,17,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,5,4,4,0,0,0,0,0.6298480805,,0,0,0,0,0,0,17,17,30,17,30,56,56,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,9,9,0,0,0,0,0,0.1785437996,,0,0,0,43,0,0,0,0,100,0,56,0,17,0,0,0,56,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,5,5,2,0,0,0,0,0.1752970015,,0,0,0,43,0,0,0,0,82,0,82,5.5,5.5,5.5,0,17,5.5,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,3,5,2,0,0,0,0,0.6451913596,,0,0,0,17,0,5.5,17,17,30,17,43,43,0,17,0,56,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,3,4,2,0,1,0,0,0.4601046133,,0,350,0,17,0,17,30,0,43,5.5,5.5,69,0,17,0,94,56,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,7,4,4,0,0,0,0,0.0764091546,,0,0,0,5.5,5.5,5.5,30,30,43,17,56,5.5,5.5,5.5,5.5,17,5.5,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,3,4,3,0,0,0,0,0.0290483129,,0,0,0,30,5.5,0,17,17,56,5.5,30,5.5,0,17,0,30,30,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,3,2,1,0,0,0,0,0.0513339369,,0,0,0,17,0,0,17,5.5,82,0,43,30,17,5.5,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,6,3,2,0,0,0,0,0.2060328555,,0,0,0,0,0,0,0,0,17,0,94,5.5,0,30,0,5.5,30,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,5,2,4,0,0,0,0,0.0448142919,,0,0,0,5.5,5.5,5.5,30,30,43,17,30,17,5.5,5.5,5.5,43,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,2,4,3,0,0,0,0,0.2110714122,,0,0,0,30,0,0,17,17,56,17,43,30,30,0,0,17,17,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,5,0,3,0,0,0,0,0.0431945552,,0,0,0,17,5.5,17,17,5.5,82,0,43,17,0,0,0,43,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,3,3,2,0,0,0,0,0.1766302419,,0,0,0,30,5.5,5.5,17,5.5,56,5.5,56,17,0,5.5,0,30,17,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,4,2,3,0,0,0,0,0.1983997781,,0,0,0,30,0,17,5.5,0,43,5.5,43,17,0,5.5,0,43,30,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,6,3,2,0,0,0,0,0.1029499053,,0,0,0,30,0,0,0,0,43,0,69,5.5,0,0,0,17,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,3,5,2,0,0,0,0,0.4034095334,,0,0,0,30,5.5,0,5.5,5.5,56,17,30,5.5,0,5.5,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
53,3,3,3,0,0,0,0,0.2213364459,,0,0,0,17,0,5.5,5.5,5.5,43,5.5,69,5.5,0,17,0,17,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,4,4,2,0,0,0,0,0.4526517999,,0,0,0,69,0,0,43,30,82,30,56,17,17,0,0,30,5.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,6,0,7,0,0,0,0,0.0637336709,,0,0,0,5.5,0,0,5.5,5.5,69,5.5,69,5.5,5.5,5.5,0,17,43,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,9,0,5,0,0,0,0,0.0032389439,,0,0,0,17,0,5.5,0,0,56,0,56,0,0,0,0,43,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,6,2,4,0,0,0,1,0.698719859,,0,0,0,0,0,0,5.5,0,69,17,43,17,0,0,0,43,5.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,2,5,2,0,0,0,0,0.5471246497,,0,0,0,5.5,0,0,5.5,5.5,43,0,43,43,17,43,0,30,43,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,1,5,2,0,0,0,0,0.5369497102,,0,0,0,43,5.5,0,5.5,5.5,56,17,43,30,0,30,0,43,5.5,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,4,3,2,0,0,0,0,0.1791109271,,0,0,0,30,5.5,5.5,5.5,5.5,43,5.5,43,17,5.5,5.5,5.5,30,17,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,4,0,3,0,0,0,0,0.5341955961,,0,0,0,0,0,0,17,17,43,30,43,30,0,0,30,43,5.5,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,7,0,3,0,0,0,0,0.2830179135,,0,0,0,0,5.5,0,30,30,94,17,43,17,0,5.5,0,30,5.5,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,3,0,2,0,0,0,0,0.0438234224,,0,0,0,0,0,43,17,17,30,0,17,56,17,0,0,82,17,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,5,4,0,0,0,0,0,0.5472897256,,0,0,0,0,17,0,17,30,56,17,17,43,0,0,0,56,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,1,4,2,0,0,0,0,0.6314860618,,0,0,0,5.5,5.5,5.5,30,30,56,5.5,17,17,0,17,0,56,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
74,5,0,4,0,0,0,0,0.0464705988,,0,0,0,5.5,0,0,43,43,56,30,17,17,0,17,0,43,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,5,1,5,0,0,0,0,0.0959709892,,0,0,0,0,0,5.5,17,17,43,30,5.5,43,0,0,0,69,5.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,1,0,4,0,0,0,0,0.0523649995,,0,0,0,5.5,0,0,43,56,69,56,0,0,0,5.5,0,43,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,5,1,6,0,0,0,0,0.1649503113,,0,0,0,0,0,5.5,5.5,5.5,43,17,30,43,0,5.5,0,56,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,5,1,3,0,0,0,0,0.6961794676,,0,0,0,5.5,5.5,69,69,69,0,56,17,5.5,0,0,0,43,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,5,0,5,0,0,0,0,0.6805513849,,0,0,0,17,0,0,5.5,5.5,69,5.5,56,17,5.5,5.5,0,17,43,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,3,4,4,0,0,0,0,0.2566991226,,0,0,0,56,0,0,0,0,17,5.5,69,17,0,17,0,43,30,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,4,3,1,0,0,0,0,0.4261188761,,0,0,0,43,5.5,5.5,17,17,56,17,30,17,0,5.5,0,30,30,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,4,3,3,0,0,0,0,0.0985903098,,0,0,0,0,0,5.5,43,30,82,43,30,30,17,0,0,5.5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,6,0,4,0,0,0,0,0.6723798135,,0,0,0,0,0,17,17,17,0,17,56,30,0,17,0,43,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,2,4,3,0,0,0,0,0.6332893011,,0,0,0,30,0,0,17,17,69,17,30,30,0,5.5,0,56,30,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,3,0,2,0,0,0,0,0.0958389841,,0,0,0,5.5,0,0,5.5,5.5,43,5.5,94,5.5,0,17,0,5.5,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,8,0,9,0,0,0,0,0.2733409373,,0,0,0,0,0,0,82,82,56,56,0,17,0,0,0,43,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,4,0,5,0,0,0,0,0.3704844086,,0,0,0,17,0,0,5.5,5.5,69,30,43,17,5.5,5.5,0,17,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,4,0,4,0,0,0,1,0.063673893,,0,0,0,5.5,0,0,43,5.5,69,56,0,0,0,5.5,0,43,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,7,3,2,0,0,0,0,0.5378348881,,0,0,0,17,0,0,5.5,5.5,43,5.5,56,5.5,0,0,0,5.5,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,5,0,3,0,0,0,0,0.452898557,,0,0,0,0,0,0,43,43,69,30,0,43,0,17,0,69,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,7,0,3,0,0,0,0,0.0242203768,,0,0,0,0,5.5,0,30,30,94,17,43,17,0,5.5,0,30,5.5,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,6,2,3,0,0,0,0,0.4650073417,,0,0,0,0,0,17,43,43,69,43,30,17,5.5,5.5,0,17,30,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,4,0,9,0,0,0,0,0.2043538192,,0,0,0,5.5,56,5.5,0,100,43,56,0,0,43,5.5,0,43,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,4,2,3,0,0,0,0,0.6229843291,,0,0,0,5.5,5.5,30,30,43,30,30,17,5.5,0,0,0,56,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,2,4,0,1,0,0,0,0.0016558096,,0,0,0,17,0,0,0,0,43,0,43,0,0,17,0,56,17,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,9,0,5,0,1,0,0,0.3448750071,,0,3000,0,17,0,5.5,0,0,43,0,56,0,0,17,0,0,43,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,5,0,4,0,0,0,0,0.5648373294,,0,0,0,0,5.5,17,43,43,43,43,0,43,0,17,5.5,56,30,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,4,0,4,0,0,0,0,0.6629046889,,0,0,0,17,0,0,5.5,5.5,82,0,43,30,0,5.5,0,43,17,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,2,7,1,0,0,0,0,0.3753849279,,0,0,0,69,0,17,56,17,17,30,43,5.5,0,30,0,17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,4,0,9,0,0,0,0,0.1886027056,,0,0,0,43,0,0,5.5,5.5,17,0,82,0,0,17,0,43,17,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
